"","logFC","AveExpr","t","P.Value","adj.P.Val"
"SCN7A",-3.93444324452878,-1.74777946003481,-11.39223339332,4.39520030710708e-27,3.06958370072042e-25
"TNFSF14",-3.60905469047809,4.02339173382273,-11.3673681486329,5.50214457489136e-27,3.82512105720187e-25
"CDH19",-4.05314874306236,-1.02860379399929,-11.3657210187098,5.5845723931434e-27,3.86477794025492e-25
"MCEMP1",-3.67704552735302,-3.48572180084608,-11.352652178028,6.28362828440871e-27,4.32887966652138e-25
"SPATA6L",-2.69167091072029,1.14569636123562,-11.3513888966047,6.35564884985352e-27,4.35877269094684e-25
"NTRK3",-3.47400171742729,-1.81841049991535,-11.3392749232016,7.08933460879285e-27,4.84013988425431e-25
"CXCL2",-3.72067813539991,4.84730331694615,-11.3199484114944,8.43802050898813e-27,5.73521706470287e-25
"B3GAT2",-3.04641416222902,-0.95486830680789,-11.2410989473498,1.71421161551947e-26,1.15994985983484e-24
"CPA2",-4.13244829168167,-4.11866835241396,-11.1607373354336,3.51990199971534e-26,2.37126141352505e-24
"ZC3H13",-2.55750236118579,5.62095918820962,-11.1280708751032,4.71171346907558e-26,3.16016905580069e-24
"CDC25C",4.51421160186629,0.508291675002125,11.0757152152238,7.51132498368948e-26,5.01578609108212e-24
"ABCA9",-3.08677004316294,2.41144440644935,-11.0216739106843,1.21393533854521e-25,8.07081464163789e-24
"AGAP5",-2.26050626689876,1.76283646419005,-11.0078100238192,1.37272597568101e-25,9.08684912162755e-24
"DLEC1",-2.72678904639839,-0.47470395517372,-10.9562092712169,2.1674469527396e-25,1.42854458248746e-23
"MEFV",-2.80932382158996,-1.44692857308048,-10.9548300820276,2.19403179206042e-25,1.43983336353965e-23
"CES4A",-3.32103806454523,2.23416302410077,-10.9525836655852,2.23802863039867e-25,1.46240282823261e-23
"MARCO",-4.0948039136933,0.0487341498254281,-10.9502540160449,2.2845820074663e-25,1.48644278049891e-23
"CAPN3",-2.68663591826864,2.64680865787004,-10.9181084138763,3.03435728413876e-25,1.96587615536224e-23
"GABBR1",-2.87981975544552,1.87375829835451,-10.9063687314213,3.36533797247974e-25,2.17107078944933e-23
"TSHR",-3.03576436233194,-3.36670189502927,-10.8419903658588,5.93042587485565e-25,3.80973560948005e-23
"SMTNL1",-3.07642788136335,-3.35457941083587,-10.8177073538536,7.33961457005723e-25,4.69519461466897e-23
"STEAP4",-3.28252014428,3.42001766974963,-10.8059766328357,8.13498278653851e-25,5.1822222981192e-23
"NTSR1",-3.38857528549418,-2.95061581758993,-10.7829462664653,9.95400206076129e-25,6.31457005729544e-23
"SRPX",-3.22180280251311,1.0444869556851,-10.7353592470085,1.50916118354967e-24,9.53401619068206e-23
"CCL23",-3.20090579112343,-2.68871816021033,-10.7086387226093,1.90551499800888e-24,1.19882090267294e-22
"FLG",-3.53038889156636,-2.76751664952261,-10.7010621606595,2.03564367662677e-24,1.27541872331862e-22
"NDST3",-3.37662662960903,-4.22338950988591,-10.6821291083889,2.40071399974811e-24,1.49798650189201e-22
"KRT15",-3.79247991524582,-3.3593225579191,-10.6814324964331,2.41532071864768e-24,1.50094930373106e-22
"SFRP1",-3.46092765488605,-0.591572766401173,-10.6631796328891,2.83116396103652e-24,1.75221428076345e-22
"TG",-3.44734971617873,-0.718374953239862,-10.6389079202929,3.49618787489506e-24,2.15503888239989e-22
"HBG2",-3.5899311044505,-3.38909743027192,-10.6382440484953,3.516407704915e-24,2.15876239142463e-22
"TTC36",-4.17472919790784,1.97800702447365,-10.6032615104466,4.76362692949604e-24,2.91269959845691e-22
"GPM6A",-3.5142978693364,-0.581713882238642,-10.5964838405099,5.05184939257328e-24,3.07657628007713e-22
"AZU1",-3.24002502550985,-3.69178241727344,-10.5759458042469,6.03531392200165e-24,3.66086272758865e-22
